
2018-03-05 09:30:00 - INFO  - 600867.XSHG（通化东宝）的排名为：65,分数为：43.0

2018-03-05 09:30:00 - INFO  - 601100.XSHG（恒立液压）的排名为：66,分数为：43.0

2018-03-05 09:30:00 - INFO  - 000963.XSHE（华东医药）的排名为：67,分数为：42.0

2018-03-05 09:30:00 - INFO  - 002016.XSHE（世荣兆业）的排名为：68,分数为：42.0

2018-03-05 09:30:00 - INFO  - 002311.XSHE（海大集团）的排名为：69,分数为：42.0

2018-03-05 09:30:00 - INFO  - 600380.XSHG（健康元）的排名为：70,分数为：42.0

2018-03-05 09:30:00 - INFO  - 603515.XSHG（欧普照明）的排名为：71,分数为：42.0

2018-03-05 09:30:00 - INFO  - 002078.XSHE（太阳纸业）的排名为：72,分数为：41.0

2018-03-05 09:30:00 - INFO  - 002110.XSHE（三钢闽光）的排名为：73,分数为：41.0

2018-03-05 09:30:00 - INFO  - 002156.XSHE（通富微电）的排名为：74,分数为：41.0

2018-03-05 09:30:00 - INFO  - 002258.XSHE（利尔化学）的排名为：75,分数为：41.0

2018-03-05 09:30:00 - INFO  - 002271.XSHE（东方雨虹）的排名为：76,分数为：41.0

2018-03-05 09:30:00 - INFO  - 603288.XSHG（海天味业）的排名为：77,分数为：41.0

2018-03-05 09:30:00 - INFO  - 600183.XSHG（生益科技）的排名为：78,分数为：40.0

2018-03-05 09:30:00 - INFO  - 603993.XSHG（洛阳钼业）的排名为：79,分数为：40.0

2018-03-05 09:30:00 - INFO  - 000488.XSHE（晨鸣纸业）的排名为：80,分数为：39.0

2018-03-05 09:30:00 - INFO  - 002359.XSHE（北讯集团）的排名为：81,分数为：39.0

2018-03-05 09:30:00 - INFO  - 002597.XSHE（金禾实业）的排名为：82,分数为：39.0

2018-03-05 09:30:00 - INFO  - 300241.XSHE（瑞丰光电）的排名为：83,分数为：39.0

2018-03-05 09:30:00 - INFO  - 300409.XSHE（道氏技术）的排名为：84,分数为：39.0

2018-03-05 09:30:00 - INFO  - 600019.XSHG（宝钢股份）的排名为：85,分数为：39.0

2018-03-05 09:30:00 - INFO  - 600720.XSHG（祁连山）的排名为：86,分数为：39.0

2018-03-05 09:30:00 - INFO  - 600789.XSHG（鲁抗医药）的排名为：87,分数为：39.0

2018-03-05 09:30:00 - INFO  - 600872.XSHG（中炬高新）的排名为：88,分数为：39.0

2018-03-05 09:30:00 - INFO  - 000672.XSHE（上峰水泥）的排名为：89,分数为：38.0

2018-03-05 09:30:00 - INFO  - 002102.XSHE（冠福股份）的排名为：90,分数为：38.0

2018-03-05 09:30:00 - INFO  - 002372.XSHE（伟星新材）的排名为：91,分数为：38.0
